FullCategoryName,UPC,Condition,Order_Type,Average Checked In per Day,Average Produced per Day,Average Sold per Day After Listing,Average Sold per Day,Sold Quantity,GAAP Sales,Sold Recovery % (Lowest Retail),Sold Recovery % (Anchor MSRP),Average Shipped per Day,Shipped Quantity,Shipped GAAP Sales
Health & Beauty -> Oral Care,75020100993,New,B2BMarketplace,0.005882353,0.015873016,0.008385744,0.01980198,2,$50 ,25%,38%,0.022988506,2,$50 
Health & Beauty -> Home Health Care,75020101358,New,B2BMarketplace,2.333333333,2.434782609,9.333333333,3.111111111,56,$280 ,20%,25%,5.6,56,$280 
Health & Beauty -> Shaving,75020102751,New,B2BMarketplace,0.015625,0.015873016,0.074074074,0.01980198,2,$130 ,43%,65%,0.02,2,$130 
Health & Beauty -> Oral Care,75020104700,New,B2BMarketplace,0.020134228,0.023809524,0.037974684,0.042857143,3,$84 ,47%,47%,0.050847458,3,$84 
Health & Beauty -> Hair Care,78729456033,New,B2BMarketplace,0.009756098,0.010582011,0.032258065,0.013986014,2,$58 ,48%,41%,0.014705882,2,$58 
Home -> Arts & Crafts,80313020827,New,B2BMarketplace,0.011627907,0.011627907,0.071428571,0.013888889,1,$6 ,40%,40%,0.014925373,1,$6 
Home -> Arts & Crafts,80313022876,New,B2BMarketplace,0.011627907,0.011627907,0.071428571,0.013888889,1,$6 ,40%,40%,0.014925373,1,$6 
Home -> Arts & Crafts,80313023149,New,B2BMarketplace,0.011627907,0.011627907,0.071428571,0.013888889,1,$6 ,40%,40%,0.014925373,1,$6 
"Sports, Fitness & Outdoors -> Outdoor Sports",80313070006,New,B2BMarketplace,0.075757576,0.075757576,0.106837607,0.178571429,5,$45 ,39%,45%,0.086956522,2,$18 
Patio & Garden -> Gardening & Lawn Care -> Other,80313079023,New,B2BMarketplace,0.022727273,0.022988506,0.125,0.028169014,2,$28 ,35%,35%,0.034482759,2,$28 
"Sports, Fitness & Outdoors -> Camping & Hiking",80313083488,New,B2BMarketplace,0.016949153,0.016949153,0.117647059,0.01980198,2,$12 ,21%,20%,0.021276596,2,$12 
"Sports, Fitness & Outdoors -> Shooting",80926694149,New,B2BMarketplace,0.111111111,0.117647059,0.2,0.5,2,$240 ,55%,55%,,,
Electronics -> Video Games -> Games -> Sony,81013667114,New,B2BMarketplace,0.041666667,0.047619048,0.153846154,0.057142857,2,$140 ,47%,47%,0.066666667,2,$140 
Home -> Home Security & Safety,81023007207,New,B2BMarketplace,0.003215434,0.0041841,0.007042254,0.010309278,1,$150 ,54%,54%,0.012987013,1,$150 
Electronics -> Video Games -> Games -> Nintendo,83717271055,New,B2BMarketplace,0.142857143,0.142857143,Infinity,0.142857143,3,$27 ,23%,23%,0.3,3,$27 
"Toys -> Boardgames, Puzzles & Building Blocks",83717856528,New,B2BMarketplace,0.011627907,0.011627907,0.017241379,0.035714286,1,$3 ,25%,25%,0.043478261,1,$3 
"Toys -> Boardgames, Puzzles & Building Blocks",83717857235,New,B2BMarketplace,0.00729927,0.007936508,0.035714286,0.009174312,1,$6 ,27%,27%,0.009259259,1,$6 
"Toys -> Boardgames, Puzzles & Building Blocks",83717861140,New,B2BMarketplace,0.163934426,0.163934426,1.538461538,0.183486239,20,$220 ,50%,50%,0.185185185,20,$220 
Electronics -> Cellular Phones -> Accessories -> Cases,84026238319,New,B2BMarketplace,0.008264463,0.008264463,0.142857143,0.00877193,1,$5 ,17%,9%,0.009174312,1,$5 
Home -> Kitchen & Dining,84691876465,New,B2BMarketplace,0.002320186,0.007936508,0.003012048,0.01010101,1,$190 ,28%,28%,0.019607843,1,$190 
Electronics -> Computers -> Accessories -> Other,85896678199,New,B2BMarketplace,0.880149813,,2.015658077,1.566666667,235,"$1,175 ",19%,19%,1.654929577,235,"$1,175 "
Home -> Kitchen & Dining,86279046819,New,B2BMarketplace,0.017241379,0.01754386,0.028571429,0.043478261,1,$8 ,27%,27%,0.058823529,1,$8 
"Home -> Appliances -> Small Appliances -> Food Processors, Blenders, Mixers & Ice Cream Makers",86279175304,New,B2BMarketplace,0.13559322,0.13559322,5.333333333,0.140350877,8,$320 ,50%,85%,0.150943396,8,$320 
Home -> Kitchen & Dining,86279219466,New,B2BMarketplace,0.016393443,0.016393443,0.125,0.018867925,2,$22 ,39%,55%,0.02020202,2,$22 
Electronics -> Computers -> Accessories -> Keyboards & Mice,87944787808,New,B2BMarketplace,0.149253731,,0.273972603,0.327868852,40,$120 ,14%,14%,0.353982301,40,$120 
Movies & TV Media -> Blu-ray Discs,89859920325,New,B2BMarketplace,0.006666667,0.007936508,0.010309278,0.018867925,1,$2 ,8%,8%,0.020408163,1,$2 
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories",91074021510,New,B2BMarketplace,0.02,0.02,0.043478261,0.037037037,1,$10 ,34%,34%,0.04,1,$10 
Home -> Heating & Cooling -> Fans,92926999001,New,B2BMarketplace,0.024793388,0.024793388,0.030612245,0.130434783,3,$15 ,28%,33%,0.176470588,3,$15 
Electronics -> Computers -> Computer Software -> Games,93155170209,New,B2BMarketplace,0.024305556,0.041666667,0.040362438,0.137254902,14,$38 ,14%,14%,0.137254902,14,$38 
Electronics -> Video Games -> Games -> Microsoft,93155171329,New,B2BMarketplace,0.029455081,0.05952381,0.040979408,0.141843972,20,$100 ,13%,6%,0.144927536,20,$100 
Electronics -> Video Games -> Games -> Microsoft,93155174146,New,B2BMarketplace,0.714285714,0.714285714,1.25,1.666666667,5,$30 ,15%,10%,2.5,5,$30 
Electronics -> Video Games -> Games -> Sony,93155175440,New,B2BMarketplace,0.019230769,0.019230769,1,0.019607843,1,$5 ,8%,8%,0.02,1,$5 
Electronics -> Video Games -> Games -> Nintendo,93155175761,New,B2BMarketplace,0.090909091,0.090909091,0.363636364,0.111111111,2,$52 ,62%,62%,0.090909091,1,$25 
Electronics -> Video Games -> Games -> Microsoft,93155175815,New,B2BMarketplace,0.6,0.6,2.360655738,1.333333333,12,$155 ,41%,26%,1.5,12,$155 
Electronics -> Video Games -> Games -> Sony,93155175822,New,B2BMarketplace,0.555555556,0.555555556,0.714285714,2.5,5,$65 ,31%,26%,,,
Electronics -> Video Games -> Games -> Microsoft,93155176119,New,B2BMarketplace,0.071428571,0.071428571,0.1,0.25,1,$25 ,36%,36%,,,
Electronics -> Video Games -> Games -> Microsoft,93155176164,New,B2BMarketplace,0.008403361,0.00862069,0.00952381,0.090909091,1,$170 ,57%,57%,0.125,1,$170 
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories",93177604478,New,B2BMarketplace,0.011695906,0.015873016,0.032258065,0.018348624,2,$12 ,38%,38%,0.018518519,2,$12 
Music -> Music CDs/Vinyl/Tapes,93624849773,New,B2BMarketplace,0.030769231,0.030769231,0.173913043,0.037735849,2,$20 ,29%,29%,0.040816327,2,$20 
Music -> Music CDs/Vinyl/Tapes,93624858614,New,B2BMarketplace,0.015625,0.015625,0.090909091,0.018867925,1,$10 ,13%,13%,0.020408163,1,$10 
Electronics -> Computers -> Accessories -> Keyboards & Mice,97855161673,New,B2BMarketplace,0.118881119,0.118881119,0.658314351,0.147826087,17,$391 ,46%,46%,0.158878505,17,$391 
Electronics -> Computers -> Accessories -> Keyboards & Mice,97855168825,New,B2BMarketplace,0.120567376,0.134920635,0.911671924,0.147826087,17,$425 ,36%,32%,0.147826087,17,$425 
Electronics -> Computers -> Accessories -> Other,97855174895,New,B2BMarketplace,0.631284916,0.631284916,9.967993755,0.753333333,113,"$3,071 ",42%,42%,0.79020979,113,"$3,071 "
Jewelry -> Earrings,98087831624,New,B2BMarketplace,0.00877193,0.009345794,0.125,0.01010101,1,$30 ,38%,38%,0.011494253,1,$30 
Home -> Kitchen & Dining,1.0016E+13,New,B2BMarketplace,0.008196721,0.015873016,0.016,0.022988506,2,$40 ,18%,18%,0.03125,2,$40 
Toys -> Dolls,1.00351E+13,New,B2BMarketplace,0.237804878,0.30952381,1.828125,0.361111111,39,$780 ,16%,57%,0.367924528,39,$780 
Health & Beauty -> Bath & Body,1.00376E+11,New,B2BMarketplace,0.002624672,0.007936508,0.003546099,0.011764706,1,$20 ,40%,40%,0.027777778,1,$20 
Electronics -> Video Games -> Games -> Nintendo,1.00377E+11,New,B2BMarketplace,0.04,0.04,0.333333333,0.045454545,1,$6 ,22%,19%,0.047619048,1,$6 
Home -> Vacuums,1.06224E+13,New Damaged Box,B2BMarketplace,0.006802721,0.008928571,0.009009009,0.027777778,1,$39 ,21%,21%,0.028571429,1,$39 
"Sports, Fitness & Outdoors -> Camping & Hiking",1.06283E+13,New Damaged Box,B2BMarketplace,0.010869565,0.010869565,0.021276596,0.022222222,1,$75 ,41%,41%,0.023809524,1,$75 
Electronics -> Cellular Phones -> Accessories -> Other,1.90198E+11,New,B2BMarketplace,0.040816327,0.079365079,0.091157703,0.14084507,10,$50 ,14%,14%,0.166666667,10,$50 
Electronics -> Cellular Phones -> Accessories -> Cases,1.90198E+11,New,B2BMarketplace,0.071428571,0.071428571,0.08,1,2,$6 ,7%,7%,,,
Electronics -> Headphones & Portable Speakers -> Accessories,1.90199E+11,New,B2BMarketplace,0.081081081,0.081081081,0.091836735,1.5,3,$57 ,29%,24%,3,3,$57 
Electronics -> Cellular Phones -> Accessories -> Cases,1.90199E+11,New,B2BMarketplace,0.057142857,0.057142857,0.088888889,1,2,$6 ,8%,8%,Infinity,1,$3 
Electronics -> Tablets & eReaders -> Accessories -> Apple iPad,1.90199E+11,New,B2BMarketplace,0.02,0.02,1,0.020408163,1,$60 ,47%,47%,0.022727273,1,$60 
Electronics -> Cellular Phones -> Accessories -> Cases,1.90199E+11,New,B2BMarketplace,0.012345679,0.012345679,0.142857143,0.013513514,1,$10 ,26%,10%,0.01369863,1,$10 
Electronics -> Cellular Phones -> Accessories -> Cases,1.90199E+11,New,B2BMarketplace,0.037037037,0.037037037,0.062068966,1.5,3,$6 ,6%,4%,3,3,$6 
Electronics -> Tablets & eReaders -> Accessories -> Apple iPad,1.90199E+11,New,B2BMarketplace,0.009174312,0.009259259,0.024390244,0.014925373,1,$20 ,13%,13%,0.015625,1,$20 
Electronics -> GPS & Navigation -> GPS Accessories,1.90199E+11,New,B2BMarketplace,0.014705882,0.047619048,0.019543974,0.059405941,6,$30 ,15%,13%,0.06,6,$30 
Home -> Home Security & Safety,1.90199E+11,New,B2BMarketplace,0.772151899,0.792207792,17.88942308,0.792207792,61,"$3,637 ",63%,63%,0.597014925,40,"$2,377 "
Electronics -> Tablets & eReaders -> Accessories -> Apple iPad,1.902E+11,New,B2BMarketplace,0.074074074,0.074074074,0.181818182,0.142857143,4,$140 ,18%,18%,0.375,3,$105 
Electronics -> Cellular Phones -> Accessories -> Cases,1.902E+11,New,B2BMarketplace,0.024691358,0.024691358,0.285714286,0.027027027,2,$10 ,14%,13%,0.02739726,2,$10 
Electronics -> Cellular Phones -> Accessories -> Cases,1.902E+11,New,B2BMarketplace,0.133333333,0.133333333,0.153846154,1,2,$6 ,11%,7%,2,2,$6 
Electronics -> Wearable Technology -> Accessories -> Apple Watch,1.902E+11,New,B2BMarketplace,0.061728395,0.061728395,0.714285714,0.067567568,5,$35 ,14%,14%,0.068493151,5,$35 
Music -> Music CDs/Vinyl/Tapes,1.90297E+11,New,B2BMarketplace,0.011320755,0.023809524,0.02195122,0.02970297,3,$30 ,23%,53%,0.034090909,3,$30 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",1.90781E+11,New,B2BMarketplace,0.01369863,0.01369863,0.0625,0.01754386,1,$19 ,41%,41%,0.019607843,1,$19 
"Clothing, Shoes & Accessories -> Clothing -> Mens -> T-Shirts, Polos, Sweaters",1.9084E+11,New,B2BMarketplace,0.014285714,0.014285714,0.026315789,0.03125,1,$12 ,15%,32%,0.033333333,1,$12 
Movies & TV Media -> DVD Discs,1.91329E+11,New,B2BMarketplace,0.017857143,0.017857143,0.333333333,0.018867925,1,$10 ,17%,13%,0.019607843,1,$10 
Movies & TV Media -> Blu-ray Discs,1.91329E+11,New,B2BMarketplace,0.162162162,0.162162162,0.857142857,0.206896552,6,$24 ,16%,20%,0.214285714,6,$24 
Movies & TV Media -> DVD Discs,1.91329E+11,New,B2BMarketplace,0.130841121,0.130841121,0.502564103,0.202898551,14,$56 ,27%,27%,0.208955224,14,$56 
Movies & TV Media -> DVD Discs,1.91329E+11,New,B2BMarketplace,0.137931034,0.137931034,0.2,0.444444444,4,$20 ,18%,21%,1.333333333,4,$20 
"Clothing, Shoes & Accessories -> Shoes -> Mens",1.91448E+11,New,B2BMarketplace,0.017241379,0.017241379,0.2,0.018867925,1,$10 ,33%,27%,0.019607843,1,$10 
"Clothing, Shoes & Accessories -> Shoes -> Womens",1.91449E+11,New,B2BMarketplace,0.019607843,0.019607843,0.090909091,0.025,1,$15 ,27%,27%,0.026315789,1,$15 
"Clothing, Shoes & Accessories -> Shoes -> Mens",1.91449E+11,New,B2BMarketplace,0.014285714,0.014285714,0.166666667,0.015625,1,$12 ,32%,32%,0.015625,1,$12 
"Clothing, Shoes & Accessories -> Shoes -> Boys",1.91449E+11,New,B2BMarketplace,0.016949153,0.016949153,0.03125,0.037037037,1,$15 ,36%,36%,0.041666667,1,$15 
"Clothing, Shoes & Accessories -> Shoes -> Womens",1.91449E+11,New,B2BMarketplace,0.042253521,0.042253521,0.096774194,0.075,3,$36 ,40%,40%,0.081081081,3,$36 
"Clothing, Shoes & Accessories -> Shoes -> Womens",1.91449E+11,New,B2BMarketplace,0.03125,0.03125,0.054054054,0.074074074,2,$24 ,34%,40%,0.08,2,$24 
"Clothing, Shoes & Accessories -> Shoes -> Boys",1.91449E+11,New,B2BMarketplace,0.027777778,0.027777778,0.111111111,0.037037037,1,$15 ,43%,75%,0.04,1,$15 
"Clothing, Shoes & Accessories -> Shoes -> Girls",1.91449E+11,New,B2BMarketplace,0.019230769,0.019230769,0.04,0.037037037,1,$12 ,27%,60%,0.04,1,$12 
"Clothing, Shoes & Accessories -> Shoes -> Womens",1.91449E+11,New,B2BMarketplace,0.066666667,0.066666667,0.166666667,0.111111111,1,$9 ,35%,28%,0.142857143,1,$9 
"Clothing, Shoes & Accessories -> Shoes -> Womens",1.91449E+11,New,B2BMarketplace,0.014084507,0.014285714,0.111111111,0.016129032,1,$15 ,25%,43%,0.016949153,1,$15 
"Clothing, Shoes & Accessories -> Shoes -> Girls",1.91449E+11,New,B2BMarketplace,0.016949153,0.016949153,0.052631579,0.025,1,$12 ,41%,50%,0.027027027,1,$12 
"Clothing, Shoes & Accessories -> Shoes -> Mens",1.91449E+11,New,B2BMarketplace,0.013888889,0.013888889,0.125,0.015625,1,$15 ,46%,59%,0.015625,1,$15 
"Clothing, Shoes & Accessories -> Shoes -> Womens",1.91449E+11,New,B2BMarketplace,0.014084507,0.014285714,0.111111111,0.016129032,1,$12 ,22%,30%,0.016949153,1,$12 
"Clothing, Shoes & Accessories -> Shoes -> Girls",1.91449E+11,New,B2BMarketplace,0.084745763,0.084745763,0.20661157,0.125,5,$60 ,45%,45%,0.135135135,5,$60 
"Clothing, Shoes & Accessories -> Shoes -> Womens",1.91449E+11,New,B2BMarketplace,0.011494253,0.011494253,0.142857143,0.0125,1,$7 ,17%,54%,0.0125,1,$7 
Electronics -> Video Games -> Games -> Sony,1.91642E+11,New,B2BMarketplace,0.131578947,0.135135135,0.342465753,0.238095238,5,$25 ,10%,13%,0.5,5,$25 
Home -> Kitchen & Dining,1.91719E+11,New,B2BMarketplace,0.189189189,0.189189189,0.212121212,1.75,7,$63 ,36%,36%,,,
Patio & Garden -> Pools & Water Fun,1.92072E+11,New Damaged Box,B2BMarketplace,0.002444988,0.008928571,0.003663004,0.03125,1,$8 ,3%,2%,0.033333333,1,$8 
Electronics -> Computers -> Accessories -> Docks,1.92076E+11,New,B2BMarketplace,0.397350993,,0.821917808,0.983606557,120,"$3,600 ",19%,19%,1.061946903,120,"$3,600 "
Office -> Office Supplies,1.92545E+11,New,B2BMarketplace,0.011363636,0.011494253,0.0625,0.014084507,1,$17 ,42%,41%,0.017241379,1,$17 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",1.92546E+11,New,B2BMarketplace,0.020338983,0.041666667,0.170616114,0.059405941,6,$60 ,50%,13%,0.063157895,6,$60 
Toys -> Dolls,1.92995E+11,New,B2BMarketplace,0.24691358,0.24691358,1.428571429,0.298507463,20,$160 ,23%,67%,0.303030303,20,$160 
Toys -> Dolls,1.92995E+11,New,B2BMarketplace,0.388888889,0.4,2.227272727,0.5,14,$140 ,33%,48%,0.636363636,14,$140 
Toys -> Action Figures,1.93052E+11,New,B2BMarketplace,0.161764706,0.174603175,0.657608696,0.392857143,11,$44 ,27%,23%,0.44,11,$44 
Toys -> Water Guns & Foam Blasters,1.93052E+11,New,B2BMarketplace,0.263157895,0.263157895,0.833333333,0.304347826,35,$525 ,21%,26%,0.327102804,35,$525 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",1.93424E+11,New,B2BMarketplace,0.085714286,0.105882353,9,0.107142857,9,$162 ,44%,44%,0.126760563,9,$162 
Home Improvement -> Home Automation,1.93575E+11,New,B2BMarketplace,0.062130178,0.067741935,0.196875,0.169354839,21,"$1,425 ",38%,38%,0.175,21,"$1,425 "
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories",1.936E+11,New,B2BMarketplace,0.050847458,0.051724138,0.096774194,0.111111111,3,$180 ,50%,50%,0.12,3,$180 
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories",1.93625E+11,New,B2BMarketplace,0.14084507,0.14084507,0.438596491,0.217391304,10,$35 ,18%,18%,0.23255814,10,$35 
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories",1.93625E+11,New,B2BMarketplace,0.027777778,0.027777778,0.111111111,0.037037037,1,$26 ,93%,98%,0.04,1,$26 
Electronics -> Computers -> Accessories -> Docks,1.93638E+11,New,B2BMarketplace,0.008849558,0.008928571,0.029411765,0.013333333,1,$133 ,39%,32%,0.013888889,1,$133 
Home -> Decor,1.93849E+11,New,B2BMarketplace,0.139534884,0.139534884,6,0.142857143,12,$120 ,25%,56%,0.157894737,12,$120 
Party & Occasions -> Decorations & Favors,1.93849E+11,New,B2BMarketplace,0.11627907,0.11627907,5,0.119047619,10,$80 ,62%,8%,0.131578947,10,$80 
Electronics -> Cellular Phones -> Accessories -> Other,1.93968E+11,New,B2BMarketplace,0.073891626,0.089285714,0.162748644,0.75,30,$300 ,34%,30%,0.810810811,30,$300 
Patio & Garden -> Patio & Outdoor Lighting / Decor,1.93968E+11,New,B2BMarketplace,0.011682243,0.02688172,0.018102824,0.033112583,5,$70 ,35%,35%,0.034013605,5,$70 
Patio & Garden -> Patio & Outdoor Lighting / Decor,1.93968E+11,New,B2BMarketplace,0.022321429,0.054945055,0.028653295,0.101010101,10,$300 ,30%,23%,0.117647059,10,$300 
Home -> Bath,1.93968E+11,New,B2BMarketplace,0.013307985,0.020833333,0.018992248,0.046357616,7,$28 ,40%,40%,0.047619048,7,$28 
Home -> Bath,1.93968E+11,New,B2BMarketplace,0.011406844,0.032432432,0.016216216,0.039735099,6,$24 ,40%,40%,0.040816327,6,$24 
Home -> Bath,1.93968E+11,New,B2BMarketplace,0.022522523,0.029761905,0.036376864,0.066225166,10,$40 ,40%,40%,0.068027211,10,$40 
Patio & Garden -> Pools & Water Fun,1.93968E+11,New,B2BMarketplace,0.024630542,0.031446541,0.035714286,0.083333333,10,$50 ,25%,25%,0.086956522,10,$50 
Patio & Garden -> Pools & Water Fun,1.93968E+11,New,B2BMarketplace,0.015873016,0.030456853,0.023255814,0.05,6,$18 ,15%,15%,0.052173913,6,$18 
Toys -> Stuffed Animals,1.93968E+11,New,B2BMarketplace,0.016194332,0.044692737,0.024024024,0.050632911,8,$48 ,40%,40%,0.051282051,8,$48 
Home -> Kitchen & Dining,1.93968E+11,New,B2BMarketplace,0.003809524,0.005952381,0.005235602,0.015151515,2,$16 ,32%,32%,0.015267176,2,$16 
Home -> Kitchen & Dining,1.93968E+11,New,B2BMarketplace,0.006036217,0.017751479,0.008823529,0.01986755,3,$24 ,32%,32%,0.020408163,3,$24 
"Home -> Bedding -> Blankets, Throws & Quilts",1.93968E+11,New,B2BMarketplace,0.003289474,0.005025126,0.00621118,0.006993007,1,$18 ,45%,45%,0.007352941,1,$18 
Home -> Decor,1.93968E+11,New,B2BMarketplace,0.100401606,0.100401606,0.376506024,0.157232704,25,$170 ,34%,34%,0.161290323,25,$170 
Patio & Garden -> Patio & Outdoor Lighting / Decor,1.93968E+11,New,B2BMarketplace,0.030418251,0.071428571,0.034632035,0.25,8,$144 ,36%,36%,0.266666667,8,$144 
"Sports, Fitness & Outdoors -> Camping & Hiking",1.93968E+11,New,B2BMarketplace,0.007092199,0.007092199,0.009803922,0.025641026,1,$11 ,37%,37%,0.033333333,1,$11 
Home -> Bedding -> Comforters & Duvets,1.93968E+11,New,B2BMarketplace,0.004291845,0.004405286,0.011904762,0.006993007,1,$39 ,49%,49%,0.007352941,1,$39 
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories",1.93968E+11,New,B2BMarketplace,0.007692308,0.008264463,0.011494253,0.025,1,$6 ,61%,61%,0.027027027,1,$6 
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories",1.93968E+11,New,B2BMarketplace,0.153846154,0.165289256,0.24691358,0.434782609,20,$120 ,40%,40%,0.476190476,20,$120 
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories",1.93968E+11,New,B2BMarketplace,0.015384615,0.016528926,0.024691358,0.043478261,2,$12 ,61%,61%,0.047619048,2,$12 
Electronics -> Cameras -> Accessories,1.94252E+11,New,B2BMarketplace,0.00990099,0.01,0.038461538,0.013513514,1,$8 ,18%,14%,0.013888889,1,$8 
Electronics -> Cameras -> Accessories,1.94252E+11,New,B2BMarketplace,0.008130081,0.008196721,0.020408163,0.013513514,1,$10 ,17%,17%,0.013888889,1,$10 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94252E+11,New,B2BMarketplace,0.19047619,0.19047619,0.469055375,6,12,$24 ,4%,4%,8,8,$16 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94252E+11,New,B2BMarketplace,0.037037037,0.037037037,0.272727273,0.042857143,3,$30 ,20%,20%,0.046875,3,$30 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94252E+11,New,B2BMarketplace,0.156626506,0.156626506,1.28030303,0.175675676,13,$168 ,26%,26%,0.178082192,13,$168 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94252E+11,New,B2BMarketplace,0.012048193,0.012048193,0.111111111,0.013513514,1,$10 ,20%,20%,0.013888889,1,$10 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94252E+11,New,B2BMarketplace,0.049382716,0.049382716,0.571428571,0.054054054,4,$20 ,10%,10%,0.054794521,4,$20 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94252E+11,New,B2BMarketplace,0.024691358,0.024691358,0.285714286,0.027027027,2,$18 ,18%,18%,0.02739726,2,$18 
Electronics -> Cellular Phones -> Accessories -> Other,1.94252E+11,New,B2BMarketplace,0.050847458,0.050847458,0.346153846,0.06,3,$30 ,19%,19%,0.06,3,$30 
Electronics -> Computers -> Accessories -> Keyboards & Mice,1.94253E+11,New,B2BMarketplace,0.019607843,0.032520325,0.046511628,0.052631579,4,$180 ,45%,15%,0.059701493,4,$180 
Electronics -> Wearable Technology -> Accessories -> Apple Watch,1.94253E+11,New,B2BMarketplace,0.025210084,0.028037383,0.065934066,0.352941176,6,$30 ,5%,5%,0.4,6,$30 
Electronics -> Wearable Technology -> Accessories -> Apple Watch,1.94253E+11,New,B2BMarketplace,0.069767442,0.071428571,0.12,0.176470588,3,$15 ,5%,5%,0.2,3,$15 
Electronics -> Cellular Phones -> Accessories -> Other,1.94253E+11,New,B2BMarketplace,0.005780347,0.015873016,0.009925558,0.027027027,2,$13 ,41%,34%,0.027777778,2,$13 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94253E+11,New,B2BMarketplace,0.03030303,0.03030303,Infinity,0.03030303,2,$16 ,16%,14%,0.03125,2,$16 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94253E+11,New,B2BMarketplace,0.002364066,0.008130081,0.005780347,0.011363636,1,$17 ,35%,34%,0.011904762,1,$17 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94253E+11,New,B2BMarketplace,0.074812968,0.238095238,0.880626223,0.340909091,30,$408 ,28%,23%,0.357142857,30,$408 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94253E+11,New,B2BMarketplace,0.098765432,0.098765432,1.828571429,0.108108108,8,$71 ,18%,18%,0.109589041,8,$71 
Electronics -> Cellular Phones -> Accessories -> Other,1.94253E+11,New,B2BMarketplace,0.039215686,0.047619048,0.124137931,0.059405941,6,$30 ,14%,14%,0.068181818,6,$30 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94253E+11,New,B2BMarketplace,0.244186047,0.244186047,4.41,0.283783784,21,$309 ,29%,30%,0.291666667,21,$309 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94253E+11,New,B2BMarketplace,0.279069767,0.279069767,4.923076923,0.324324324,24,$308 ,26%,26%,0.328767123,24,$308 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94253E+11,New,B2BMarketplace,0.012345679,0.012345679,0.142857143,0.013513514,1,$15 ,31%,31%,0.01369863,1,$15 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94253E+11,New,B2BMarketplace,0.034883721,0.034883721,0.375,0.040540541,3,$45 ,30%,31%,0.04109589,3,$45 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94253E+11,New,B2BMarketplace,0.154761905,0.156626506,2.036144578,0.175675676,13,$252 ,39%,40%,0.178082192,13,$252 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94253E+11,New,B2BMarketplace,0.005780347,0.007936508,0.01010101,0.013513514,1,$17 ,34%,35%,0.013888889,1,$17 
Electronics -> Wearable Technology -> Accessories -> Apple Watch,1.94253E+11,New,B2BMarketplace,0.040752351,0.05,0.152941176,0.147727273,13,$136 ,10%,10%,0.154761905,13,$136 
Electronics -> Cellular Phones -> Accessories -> Cases,1.94346E+11,New,B2BMarketplace,0.01010101,0.010204082,0.010526316,0.25,1,$1 ,7%,7%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,1.94346E+11,New,B2BMarketplace,0.01010101,0.01010101,0.010526316,0.25,1,$1 ,7%,7%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,1.94346E+11,New,B2BMarketplace,0.086956522,0.086956522,0.105263158,0.5,2,$2 ,4%,4%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,1.94346E+11,New,B2BMarketplace,0.050505051,0.053763441,0.07204611,1.25,5,$5 ,12%,15%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,1.94346E+11,New,B2BMarketplace,0.074626866,0.074626866,0.079365079,1.25,5,$5 ,15%,15%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,1.94346E+11,New,B2BMarketplace,0.121212121,0.121212121,0.187256177,3,12,$12 ,7%,7%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,1.94346E+11,New,B2BMarketplace,0.066666667,0.066666667,0.142857143,0.75,3,$3 ,8%,8%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,1.94346E+11,New,B2BMarketplace,0.111111111,0.113636364,0.12254902,1.25,5,$5 ,8%,8%,,,
Electronics -> Cellular Phones -> Accessories -> Cases,1.94346E+11,New,B2BMarketplace,0.050505051,0.050505051,0.058411215,1.25,5,$5 ,12%,14%,,,
