FullCategoryName,UPC,BundleTitle,Condition,Order_Type,Average Checked In per Day,Average Produced per Day,Average Sold per Day After Listing,Average Sold per Day,Sold Quantity,GAAP Sales,Sold Recovery % (Lowest Retail),Sold Recovery % (Anchor MSRP),Average Shipped per Day,Shipped Quantity,Shipped GAAP Sales
Electronics -> Video Games -> Games -> Sony,14633747201,Electronic Arts F1 2022 (PlayStation 5),BRAND NEW,B2BMarketplace,0.04,0.04,0.333333333,0.042857143,3,$15 ,7%,13%,0.043478261,3,$15 
Electronics -> Video Games -> Games -> Other,14633747317,Electronic Arts EA Sports FC 24 Standard Edition (Nintendo Switch),BRAND NEW,B2BMarketplace,0.181818182,0.181818182,6.666666667,0.181818182,10,$150 ,25%,25%,0.188679245,10,$150 
Electronics -> Video Games -> Games -> Sony,14633747331,Electronic Arts Madden NFL 24 - PlayStation 5 (PS5),BRAND NEW,B2BMarketplace,0.5,0.534883721,5.601176471,0.657142857,69,"$1,316 ",27%,55%,0.62244898,61,"$1,130 "
Electronics -> Video Games -> Games -> Sony,14633747362,Electronic Arts NHL 24 (PlayStation 4),BRAND NEW,B2BMarketplace,0.041666667,0.041666667,0.052631579,0.2,1,$16 ,53%,53%,0.333333333,1,$16 
Electronics -> Video Games -> Games -> Microsoft,14633747959,Electronic Arts Wild Hearts (Xbox Series X),BRAND NEW,B2BMarketplace,0.010752688,0.010752688,0.043478261,0.014285714,1,$5 ,7%,10%,0.016393443,1,$5 
Electronics -> Video Games -> Games -> Sony,14633748451,Electronic Arts Star Wars Jedi: Survivor: Deluxe Edition (PlayStation 5),BRAND NEW,B2BMarketplace,0.15,0.15,0.590163934,0.193548387,6,$214 ,40%,40%,0.071428571,2,$70 
Electronics -> Video Games -> Games -> Microsoft,14633748468,Electronic Arts Star Wars Jedi Survivor Deluxe (Xbox Series X),BRAND NEW,B2BMarketplace,0.066666667,0.066666667,0.1,0.2,1,$25 ,35%,28%,,,
Electronics -> Video Games -> Games -> Sony,14633748888,Electronic Arts F1 23 (PlayStation 4),BRAND NEW,B2BMarketplace,0.098039216,0.098039216,0.757575758,0.131578947,5,$68 ,19%,20%,0.060606061,2,$20 
Electronics -> Video Games -> Games -> Microsoft,14633749199,Electronic Arts EA Sports FC 24 Standard Edition (Xbox One/Series X),BRAND NEW,B2BMarketplace,0.358490566,0.358490566,3.281818182,0.422222222,19,$185 ,14%,28%,0.375,15,$113 
Electronics -> Video Games -> Games -> Sony,14633749274,Electronic Arts Madden NFL 24 (PlayStation 4),BRAND NEW,B2BMarketplace,0.028985507,0.031007752,0.108108108,0.03960396,4,$92 ,33%,66%,0.040816327,4,$92 
"Sports, Fitness & Outdoors -> Camping & Hiking",15286306708,COAST 30670 FL70R 515 Lumen Rechargeable Dual Power IP54 Rated LED Headlamp,BRAND NEW,B2BMarketplace,0.016260163,0.016260163,0.023529412,0.052631579,2,$14 ,18%,18%,0.057142857,2,$14 
Home -> Kitchen & Dining,16017039629,Tramontina 12 Qt. 18/10 Stainless Steel Stockpot With Heat & Shatter-Resistant Glass Lid And Soft-Grip Handles,BRAND NEW,B2BMarketplace,0.016129032,0.016129032,0.076923077,0.020408163,1,$12 ,24%,27%,0.021276596,1,$12 
"Sports, Fitness & Outdoors -> Camping & Hiking",16162193696,Camillus 19369 Injekt 9 Multi Tool Survival Knife,BRAND NEW,B2BMarketplace,0.071428571,0.07751938,0.153846154,0.133333333,10,$80 ,40%,40%,0.142857143,10,$80 
Music -> Musical Instruments -> Accessories,19954308872,D'Addario XTE1046 Guitar Strings XT Nickel Coated Electric Guitar Strings,BRAND NEW,B2BMarketplace,0.123529412,0.185840708,0.192156863,0.36,63,$252 ,31%,30%,0.36,63,$252 
Health & Beauty -> First Aid & Home Treatment,20424010843,Be Smart Get Prepared 351 Piece First Aid Kit - Exceeds OSHA ANSI/ISEA Standards for 100 People,BRAND NEW,B2BMarketplace,0.006622517,0.007751938,0.015873016,0.011363636,1,$15 ,43%,60%,0.025641026,1,$15 
Home -> Kitchen & Dining,21241413633,6 Cup Rice Cooker w/ Steam Tray - Black (null),BRAND NEW,B2BMarketplace,0.008196721,,0.1,0.008928571,1,$15 ,75%,75%,0.01369863,1,$15 
